,ID,Smiles,pIC50
118,118,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4CC(O)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.246417
119,119,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.7958803
120,120,Clc1c(-c2c(Cl)c(-c3ccc(OCCN4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.3019867
121,121,Clc1c(-c2c(Cl)c(-c3ccc(N4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.6487837
122,122,Clc1c(-c2c(Cl)c(-c3ccc(CN4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.1241283
123,123,Clc1c(-c2c(Cl)c(-c3ncc(C4=NCCN4)cc3)ccc2)cccc1-c1ncc(C2=NCCN2)cc1,9.0762377
124,124,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,10.19382
125,125,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,10.036212
126,126,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNCCC(=O)O)cc1,10.060481
127,127,Clc1c(-c2c(Cl)c(-c3nc(OC)c([C@H](NC[C@H]4NC(=O)CC4)C)cc3)ccc2)cccc1-c1nc(OC)c([C@H](NC[C@H]2NC(=O)CC2)C)cc1,8.3756151
128,128,Clc1c(-c2c(Cl)c(-c3nc(OC)c([C@@H](NC[C@H]4NC(=O)CC4)C)cc3)ccc2)cccc1-c1nc(OC)c([C@@H](NC[C@H]2NC(=O)CC2)C)cc1,8.8368387
129,129,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c([C@H](NC[C@H]2NC(=O)CC2)C)cc1,9.5575199
130,130,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c([C@@H](NC[C@H]2NC(=O)CC2)C)cc1,9.3106909
